school_name,school_type,estimated_enrollment,principal,hours,this_school_feeds_into,neighborhood,school_bus,school_meals,school_code,about,before_school_programs,after_school_programs,special_education_programs,school_day_academic_enrichment,arts_enrichment,student_support_programs,address,phone_number,fax_number,website,assistant_principal,school_tour,language_programs,email,other_campuses,uniforms_policy,athletics,transportation
Monroe Elementary School,"Elementary School, K-5",546,Thor Boucher,8:25 am-2:50 pm,NA,Excelsior,NA,"Breakfast, Lunch, After School Supper",729,"At Monroe, teachers know their students and base their lessons on students' strengths, needs and interests. They don't just know students' names, but their learning preferences, the knowledge they bring to each task and their families' backgrounds and cultures. We believe that our job is to ensure that all students develop high academic vocabulary and standards based skills, are able to navigate complex social situations and embrace the diversity of their community. We believe that educational success is the collective responsibility of students, teachers, school staff, and families. Monroe students are the students of all staff, not just their classroom teacher. We keep our promises to our community through the variety of committees and cross-cultural opportunities that are open to families, including movie nights and a Fall Fun Festival.",Breakfast at 7:45 a.m. in the cafeteria and yard supervision from 8:10 a.m.,"SFUSD Early Education Department Out of School Time Program: Excelsior @ Monroe, K-5 grade, 2:30-5:30 p.m., 7:30 a.m.-5:30 p.m. (Spring Break & Summer). Call 415-469-4771 to learn more.",Resource Specialist services,Computer lab,Chinese Drumming,NA,"260 Madrid Street, San Francisco, CA, 94112",415-469-4736,415-469-4070,http://monroeelementaryschool.org/,NA,Please go to monroeelementaryschool.org to find tour dates and sign up.,Spanish Dual Language Immersion,NA,NA,"Monroe does not require school uniforms, however, we do follow SFUSD's Dress Code policy.",NA,NA
New Traditions Creative Arts Elementary School,"Elementary School, K-5",265,Julie Alderete,9:30 am-3:30 pm,Roosevelt Middle School,Haight Ashbury,NA,"Breakfast, Lunch, After School Supper",735,Music Teacher,YMCA provides care for students starting at 7:30am.,"YMCA: 3:30 to 6:15 p.m.  Also PTA-sponsored activities such as Spanish, chess, ceramics, yoga, and drama.",Resource Specialist services,Tutoring in school,Music,Mentoring,"2049 Grove Street, San Francisco, CA, 94117",415-750-8490,415-750-8479,http://www.newtraditionssf.com/,NA,Please check back for more information on Oct. 20.,NA,sch735@sfusd.edu,NA,NA,NA,NA
Paul Revere (PreK-8) School,"Early Education, Elementary School, K-8 School, PreK-8",499,William Eaton,Early release on Thursdays at 1:00 p.m.,NA,Bernal Heights,"94107, 94124","Breakfast, Lunch, After School Supper",760,About Paul Revere,SFUSD breakfast 7:25-7:45am.,"1:50-6pm - SF Rec & Parks after school at St. Mary's Rec Center, grades 6-8",Separate class - Mild/moderate for grades K-5,Technology teacher,VAPA visual arts grades K-5; instrumental music 4-5; Young Audiences of Northern California provide artists residencies throughout the school year in K-5; Performing Arts Workshop runs a middle school arts elective and after-school programming. San Francisco Shakespeare Festival provides a middle school drama elective and summer camp. San Francisco Symphony Adventures in Music provides field trips and on-site concerts grades 1-5. VAPA provides funding for a singing and performance teacher for an elective in grades 7-8.,Therapist,"555 Tompkins Avenue, San Francisco, CA, 94110",415-695-5656,415-647-0878,NA,Sherifa TiamiyuOluwabunmi Hart,"School tours are weekly at 8:30 a.m. Mondays. To schedule a visit, call 415-695-5656.",Spanish Dual Language Immersion,NA,NA,Black pants or skirt/white collared shirt,NA,NA
Redding Elementary School,"Early Education, Elementary School, TK-5",265,Jeanne Dowd,8:40 am-2:40 pm,Marina Middle School,Nob Hill,94130,"Breakfast, Lunch, After School Supper",790,"At Redding, we believe that joyful learning means teachers providing stimulating and varied experiences for all students, regardless of performance level. We celebrate the achievement of all of our students, and diligently monitor student attendance through our Student Attendance Review Team. We maintain ongoing communication with families (through interpreters as necessary.) Staff value knowing every student's current achievement level and suggest strategies and/or interventions to advance each student to the next level. We expect our students to be successful in their educational journey here so that they can be responsible, respectful citizens who positively contribute to our society. We are a community of life-long, joyful learners!","We also have a before-school program, called The Amazing Morning Program, for a limited number of students starting at 7:15.",Our early education after school program offers year-round childcare and education.,Resource Specialist services,Tutoring in school,Students receive a variety of arts enrichment with professional artists-in residence programs such a choral music and dance. Through SFUSD's visual and performing arts program students experience visual and performing arts on a weekly basis. Redding School also has a strong partnership with SF Ballet & SF Symphony.,Therapist,"1421 Pine Street, San Francisco, CA, 94109",415-749-3525,415-749-3527,https://reddingschool.com/,NA,"Tuesdays 9:00-10:00 10/2-12/11; except 10/30, 11/20 & 12/18",Arabic Foreign Language in Elementary School (FLES) Program,790sch@sfusd.edu,NA,NA,NA,NA
Robert Louis Stevenson Elementary School,"Elementary School, K-5",525,Diane Lau Yee,8:40 am-2:40 pm,A.P. Giannini Middle School,Outer Sunset,94112,"Breakfast, Lunch, After School Supper",782,"Through a nurturing and learning-friendly environment, students enjoy learning new information and ideas and develop a strong sense of self-confidence. Our school program provides many opportunities for the students to be rigorously challenged with 21st Century Learning and engage in authentic learning experiences in and out of the classroom. Academic programs include a functioning elementary school library, staffed by a credentialed library media teacher, computer learning and lab, math tutoring, literacy intervention, peer tutoring, reading buddies, and Lincoln Teacher Academy volunteers. Our school works closely with the ExCEL, KEEP, and Mandarin All-Star afterschool programs to create and sustain ""safe havens"" at public schools where students and community members can access expanded learning opportunities and integrated education, health, social service, and cultural programs in the out-of-school hours. Our PTA helps fund programs such as Education Outside, Playworks, Art Education, and enrichment field trips. Together, we foster a culture of service-learning through leadership opportunities, modeling healthy community practices.","Morning math tutoring for identified, targeted students in grades 3-5.","Fee-based programs: afterschool Mandarin language, academic chess, piano.",Separate class - Mild/moderate,Tutoring in school,"Artist-in-residence program: each year, the staff decides what the artistic focus will be, and a lead teacher organizes the residencies with the principal. This year, the focus is on visual and performing arts.",Family liaison,"2051 34th Avenue, San Francisco, CA, 94116",415-759-2837,415-759-2844,http://robertlouisstevensonschool.org/,NA,Tuesdays at 9 a.m. from October to January. Please call the main office at 415-759-2837 to reserve a space.,NA,sch782@sfusd.edu,NA,"Students wear school colors (royal blue and yellow) or school mascot ""Dolphin"" t-shirts and sweatshirts",NA,NA
Rooftop PK-8 School - Mayeda Campus,"Elementary School, K-8 School, Middle School, 5-8",600,Nancy Bui,7:50 am-1:50 pm,NA,Twin Peaks,"94110, 94124","Breakfast, Lunch",796,"At Rooftop, talented teachers provide enriched, rigorous standards-based instruction to support the achievement of all students. Rooftop's achievement profile reflects the success of this academic program for its diverse student population. Rooftop's integrated arts and service program provide a gateway to joyful learning. Students discover their gifts and develop their talents through participation. Students are engaged in high achieving, joyful, 21st century learning through a variety of authentic learning opportunities which include: art, gardening, outdoor education, sensory motor integration, computer classes, student government, performing arts, visual arts, newspaper, yearbook, rooftop radio, physical education, and sports teams. Students are encouraged to take positive risks in the pursuit of knowledge and creative expression. The in-depth study of an artist and his/her work are community and culturally based. Students are excited and engaged, and take charge of their own learning. Rooftop's study of jazz is a study of race and the history of African American culture in the US. Family activities and community-based learning (murals, green project, evening family art, media, math, and literacy nights) enable students to express themselves, share learning, relate to others, and contribute their ideas to peers and family. We also hold family nights, community days, and projects that require service and creative effort. Through participation, members of our community gain pleasure from their efforts and recognize the worth of their personal contributions in service to others.",NA,"CASA (Children's After School Arts) is the onsite after school program serving kindergarten through sixth graders. The focus of CASA is art, social justice & social-emotional development. CASA's diverse team of artist/educators are dedicated to guiding students towards open expression, expansive hearts & questioning minds. For more information: http://casasf.org/",Resource Specialist services,Tutoring in school,NA,NA,"500 Corbett Avenue, San Francisco, CA, 94114",415-522-6757,415-522-6763,http://rooftopk8.org/,Tiffany Obayashi,Thursdays from November through January. Please call 415-695-5691 to schedule. All tours start at the Burnett Campus.,NA,sch796a@sfusd.edu,Rooftop PK-8 School - Twin Peaks Campus,NA,NA,NA
Rooftop PK-8 School - Twin Peaks Campus,"Early Education, Elementary School, K-8 School, PreK-8",600,Nancy Bui,7:50 am-1:50 pm,NA,Twin Peaks,"94110, 94124","Breakfast, Lunch",796,"At Rooftop, talented teachers provide enriched, rigorous standards-based instruction to support the achievement of all students. Rooftop's achievement profile reflects the success of this academic program for its diverse student population. Rooftop's integrated arts and service program provide a gateway to joyful learning. Students discover their gifts and develop their talents through participation. Students are engaged in high achieving, joyful, 21st century learning through a variety of authentic learning opportunities which include: art, gardening, outdoor education, sensory motor integration, computer classes, student government, performing arts, visual arts, newspaper, yearbook, rooftop radio, physical education, and sports teams. Students are encouraged to take positive risks in the pursuit of knowledge and creative expression.",NA,"We offer after school childcare through the non-profit named CASA, which exists as an independent entity. Parents/Caregivers must reach out to CASA to apply for a spot in the after school program, which operates on a first come, first served basis. Rooftop also hosts some after school enrichment classes such as Spanish, Chess, Coding, and Chorus. Our middle school has teacher led tutoring and after school sports. Note: We do not offer any after school childcare on our campus for our preschool students. CASA and other enrichment programs are not licensed for preschool aged children.",Resource Specialist services,Tutoring in school,Full Arts Master Plan in place.  All types of art studied at Rooftop.,Mentoring,"443 Burnett Avenue, San Francisco, CA, 94131",415-695-5691,415-695-5429,http://rooftopk8.org,Tiffany Obayashi,Tours typically take place from November through January. Please go to http://rooftopk8.org/our-school/tours/ to look at the most up-to-date information about tours. Individual requests for tours will not be accommodated.,NA,sch796@sfusd.edu,Rooftop PK-8 School - Mayeda Campus,NA,NA,NA
Rosa Parks Elementary School,"Early Education, Elementary School, PreK-5",530,Darren Anthony Kawaii,7:50 am-1:50 pm,Presidio Middle School,Western Addition,"94124, 94102, 94121, 94115","Breakfast, Lunch",786,We also offer an on-site PreK program for children 2 years and 9 months to 5 years old. Learn more by visiting Raphael Weill Early Education School.,NA,"ExCEL is offered on site through the Buchanan YMCA. Their program includes homework help, outdoor play, athletics and clubs. Raphael Weill offers Out of School Time (OST) with homework help as a focus. Many off site programs serve our families needs for afterschool programming.",Separate class - Mild/moderate for grades K-5,Tutoring in school,Hip hop (5th grade),Family liaison,"1501 O'Farrell Street, San Francisco, CA, 94115",415-749-3519,415-749-3610,NA,NA,"If you have any questions about school tours, please call the school office or email Rosa.Parks.SF.PTA@gmail.com","Students experience one hour of formal Japanese language and culture on a daily basis delivered by native-speaking Japanese instructors, or sensei, who work closely with classroom teachers to integrate Japanese instruction with core curriculum content. Classroom teachers also maximize exposure to Japanese language and culture throughout the day in keeping with Japanese standards established for each grade.",sch786@sfusd.edu,Raphael Weill Early Education School,"Navy blue or white collared shirt and navy blue bottoms (pants, skirts, skorts, shorts). Also acceptable are any Rosa Parks t-shirts.",NA,NA
San Francisco Community School,"Elementary School, K-8 School, Middle School, K-8",290,Kevin Odle,Tuesday: 9:15 a.m. - 2:15 p.m. (K-5); 8:45 a.m. - 2:15 p.m. (6-8),NA,Excelsior,NA,"Breakfast, Lunch, After School Supper",493,"Teachers make learning relevant and interesting through science-based, challenge-driven projects. Students experience a strong sense of community because they are in multi-age classrooms. They participate in daily class meetings and schoolwide conflict resolution and a strong, unified adult culture. We support personalized learning and relationship-building by limiting class size to 20 in grades K-3 and to 25 in grades 4-8. Students in K-5 at SF Community participate in two nine-week, science-based, challenge-driven projects each year. We want all of our students to find joy and success in using powerful ways of thinking, performance skills, academic confidence, and habits of organization and discipline to learn from meaningful tasks and issues. We are committed to ensuring that every student leaves our school well-prepared for high school, college, and for their lives beyond school. To that end, we promise to communicate and collaborate with families regularly and frequently about their children's academic progress and school experience. We promise to solicit and respond equitably to the ideas, needs, and opinions of the families and students we serve.",Before School Recess (8:30-9:15 a.m.),City Scholars ExCEL ASP open to students K-8 from 3:30-6:30 p.m. (2:15-5:30 p.m. on Tuesdays),Resource Specialist services,Project-based learning,ASP: variety of options yearly,NA,"125 Excelsior Avenue, San Francisco, CA, 94112",415-469-4739,415-337-6879,http://my-sfcs.org/,NA,Please call to inquire about tours.,NA,odlek@sfusd.edu,NA,NA,NA,NA
San Francisco Public Montessori Elementary School,"Early Education, Elementary School, PreK-5",185,Lindsey Keener,8:30 am-2:30 pm,Marina Middle School,Pacific Heights,NA,"Breakfast, Lunch",814,"SF Public Montessori is a first-of-its-kind program in the San Francisco Unified School District, bridging PreK and elementary, both innovative and proven. Montessori schools have been helping children learn and grow around the world for more than 100 years.",NA,"Program: Pre-K only, 8:45AM-5:45PM, (415) 749-3544.",Resource Specialist services,STEAM (science; technology; engineering; arts; mathematics),"Gardening, Drama, Visual Arts (Art Seed), Dance (Hamster Dance Company), Choral Music, Instrumental Music for Fourth and Fifth Graders and Recorders for Third Graders, AIMS (Adventures in Music-SF Symphony)",On-site nurse,"2340 Jackson Street, San Francisco, CA, 94115",415-749-3730,415-749-3494,http://www.sfpublicmontessori.org/,NA,NA,NA,sch814@sfusd.edu,NA,NA,NA,NA
Sanchez Elementary School,"Early Education, Elementary School, PreK-5",300,Ann Marin,7:50 am-2:05 pm,Everett Middle School,Mission / Castro / Upper Market,NA,"Breakfast, Lunch, After School Supper",816,"Part of the Sanchez vision is to institute systems to support shared leadership for all stakeholders through leadership development for parents, teachers, and students. Parent leadership development builds parents' capacity to support student academic learning and helps strengthen our school for future students. Student leaders serve as models for other students; they motivate, support, and cultivate positive relationships with other students. Teacher leadership development helps our staff build skills to support varied students' academic development and increases our sense of ownership for our school community as a whole. Respect is a fundamental element in all aspects of Sanchez School's work to create a safe place for learning for all members of the community.","Breakfast is served 7:30 to 7:50 a.m. We encourage school community by having weekly school announcements on Mondays, and student celebrations on Friday.",We offer the ExCEL afterschool program from 2:20 to 6 p.m. (MTWF) or 1:20 to 6 p.m. (Th). We are proud to partner with Mission Graduates to offer award-winning extended school day programming.,Separate class - Moderate/severe for grades K-5,Tutoring in school,"We offer weekly visual arts classes for grades PK-5, and weekly instrumental music for grades 4-5. We have a strong tradition of school-wide events that celebrate the many talents of our Sanchez Coyotes including our annual winter program and May Dance Festival -- a nearly 20-year tradition at Sanchez on the Friday before Carnaval San Francisco nearby in the Mission District.",Family liaison,"325 Sanchez Street, San Francisco, CA, 94114",415-241-6380,415-522-6729,NA,NA,"Fridays, 8:30 a.m. throughout the Fall and Spring. Call to reserve a spot or to make alternative arrangements to visit our community.",Spanish Biliteracy Program,sanchez@sfusd.edu,NA,khaki pant / skirts / shorts and white shirts (or school spirit shirts),NA,NA
Sheridan Elementary School,"Early Education, Elementary School, PreK/TK-5",250,Dina Edwards,7:50 am-2:05 pm,James Denman Middle School,Ocean View,NA,"Breakfast, Lunch, After School Supper",820,"Sheridan teachers provide a variety of instructional strategies that make certain all children participate fully in the classroom. They take time to identify and nurture special gifts and unique learning styles of each student. The YMCA conducts our afterschool learning program. The YMCA offers homework assistance, peer leadership, sports, art, dance, music, and technology. Parental involvement at Sheridan is much more than parent-teacher conferences. Parents are an essential part of our school, and we cannot succeed without them. We use many ongoing communications to ensure that parents are fully informed and involved—Wednesday folders, phone calls, parent feedback forms (available in English, Spanish, and Chinese), school events, and much more.",NA,Stonestown YMCA,Resource Specialist services,English literacy interventionist,Chorus and weekly art instruction,Family liaison,"431 Capitol Avenue, San Francisco, CA, 94112",415-469-4743,415-469-4089,NA,NA,Mondays at 9:30 am starting in November,NA,edwardsd@sfusd.edu,NA,Blue pants or skirt and white shirt,NA,NA
Sherman Elementary School,"Elementary School, K-5",399,Helen Parker,7:50 am-1:50 pm,Marina Middle School,Marina,94130,"Breakfast, Lunch",823,"Students in the 3rd, 4th, and 5th grades participate in the Mind Research Institute's Gigi program. We are fortunate to have a model garden and garden coordinator. Students explore and test out their science hypotheses in the garden. Our student body's excitement for learning grows through their experiences in the garden. Many students are eager to come to school simply to track the growth of their plants. At Sherman, we focus on what's best for kids by building trusting and evolving relationships among the staff, families, and students. We prize the home/school collaboration and realize that with communication and support, students and their families will attain academic, social, and emotional goals. Sherman strives to include all of the members of our diverse student body and their families in the school community.",NA,Sherman afterschool program for all students from 2 to 6 p.m. daily.,Separate class - Mild/moderate with autism focus,Education Outside,Visual art classes,NA,"1651 Union Street, San Francisco, CA, 94123",415-749-3530,415-749-3433,https://www.shermanschool.org/,NA,"Fridays, 9 a.m., from September through January. Sign up online or call 415-749-3530 for more information.",NA,NA,NA,NA,NA,NA
Spring Valley Science Elementary School,"Elementary School, K-5",310,Son-Hui Wong,2:35 p.m. dismissal for kindergarten,Marina Middle School,Nob Hill,"94110, 94115, 94130","Breakfast, Lunch, After School Supper",834,The students at Spring Valley Science enjoy learning and taking personal responsibility for their actions. We envision that our children will always seek to further their academic abilities and talents to successfully achieve their dreams and contribute to society. Our high expectations for achievement prepare our students to pursue their aspirations and achieve their personal goals.,NA,YMCA program is provided during the academic year.,Resource Specialist services,STEAM (science; technology; engineering; arts; mathematics),"SF Ballet, Choral music, Folk Dancing",Therapist,"1451 Jackson Street, San Francisco, CA, 94109",415-749-3535,415-749-3555,NA,NA,"Beginning in the month of October, weekly tours are scheduled every Friday at 9:30 a.m.  Call 415-749-3535 to sign up.",Spanish Biliteracy Program,SCH834@sfusd.edu,NA,NA,NA,NA
Starr King Elementary School,"Early Education, Elementary School, PreK-5",338,Darlene Martin,8:40 a.m. - 1:40 p.m. on Thursdays,Aptos Middle School,Potrero Hill,94107,NA,838,"We offer the lowest average class size in the district and strive to know each member of our community personally. This enables us to build deeper and more meaningful relationships with all of our students. Our joyful learners are happy, engaged, curious, eager, and confident enough to take risks.","Breakfast served at 8:10 - 8:35 a.m. Yard supervision at 8:25-8:40 a.m., Monday through Friday. Tuesday food pantry program for Starr King families, 8 a.m.","Also available offsite - Jackson Park ASP, Potrero Rec ASP and Fei Tian ASP.",Separate class - Moderate/severe with autism focus for grades K-5,Tutoring in school,"Stagewrite - building literacy through theater. MUST (Music In Schools), Arts and Music through VAPA and Chinese Cultural Enrichment.",Therapist,"1215 Carolina Street, San Francisco, CA, 94107",415-695-5797,415-695-5338,https://www.starrkingschool.org/,Heath Caceres,Thursdays 9:00am Oct. to Jan - see website for available dates,Mandarin Dual Language Immersion,NA,NA,White or navy polo shirt or SK shirt with navy pants,NA,NA
Sunnyside Elementary School,"Elementary School, K-5",407,Renee Marcy,8:40 am-2:40 pm,James Denman Middle School,Outer Mission,NA,"Breakfast, Lunch, After School Supper",842,"Our program develops and challenges students' brains while also nurturing their sense of caring, compassion, and responsibility. We believe that the arts, as well as solid academics, develop well-rounded citizens. In addition to our diverse classroom teaching techniques, we offer positive programs and activities that build confidence and self-esteem such as reading buddies, student council, attendance incentives, cross-grade buddies, safety patrol, compost monitors, and monthly Spirit Day assemblies. We maintain frequent and friendly communication with families through daily interactions, newsletters, parent meetings, email, parent conferences, and other means. We use the Caring Schools Community program in all classes. We welcome parents and families as partners with the school to help all students achieve personal success.",NA,"YMCA and Tutors R Us (TRU) are fee-based programs; ExCEL is free with certain entry requirements. All of these programs offer homework support along with various academic and creative enrichments. We also have a piano class and several PTA-introduced classes covering art, physical education, and a LEGO club.",Separate class - Moderate/severe,STEAM (science; technology; engineering; arts; mathematics),"Music, poetry, and across various grade-levels overseen by site arts coordinator. K-2 Vocal Music and 3-5 Instrumental M",Social worker,"250 Foerster Street, San Francisco, CA, 94112",415-469-4746,415-334-3569,http://www.sunnysidek5.org/,NA,"Sign up online, call the school to check tour times, or email tours@sunnysidek5.org.",NA,sch842@sfusd.edu,NA,NA,NA,NA
Sunset Elementary School,"Elementary School, K-5",420,Rosina Tong,8:40 am-2:40 pm,A.P. Giannini Middle School,Outer Sunset,NA,"Breakfast, Lunch, After School Supper",750,"Sunset is an inclusive community and provides access and equity to all students to ensure that social justice and academic growth are a reality at Sunset. With a comprehensive curriculum addressing everyone’s needs, the students are challenged in and out of the classroom to achieve success through STEAM activities including Outdoor Science, Technology, and Visual and Performing Arts. Parent and community involvement is vital to the school’s success.",The Stonestown Family YMCA offers a fee-based on-site program for all students before school beginning at 7:00 am-8:25 am.,"In partnership with the Sunset Neighborhood Beacon Center, this on-site ExCEL after school program is offered for students in grades K-5 from 2:40 pm until 6:00 pm. The emphasis is on academics, enrichment, and homework support.",Separate class - Moderate/severe with autism focus,STEAM (science; technology; engineering; arts; mathematics),"Instrumental Music, SF Ballet, AIM Symphony Ensemble Groups",Social worker,"1920 41st Avenue, San Francisco, CA, 94116",415-759-2760,415-759-2729,http://www.sunset-pta.org/,NA,Thursdays at 9:00 am from Oct. to Jan. Call 759-2760 to schedule an appointment for a school tour.,NA,sch750@sfusd.edu,NA,NA,NA,NA
Sutro Elementary School,"Elementary School, K-5",275,Marian Currell,8:40 am-2:40 pm,Roosevelt Middle School,Inner Richmond,NA,"Breakfast, Lunch, After School Supper",848,"We promise our students an optimal learning environment that includes leadership opportunities, healthy community practices and a better understanding of the world around them. We have enthusiastic parents and family support. Using shared decision-making, our entire school community unites to provide an educational program committed to excellence emphasizing language arts, visual and performing arts, math, science, and technology. At our school, each and every student receives individual attention from a community of caring adults. We address not only academic, but also social and emotional needs. All community members—students, staff, parents, and volunteers—become part of a nurturing Sutro School family.",NA,Accessible to: Jewish Community Center afterschool program,Resource Specialist services,Technology teacher,"SF Ballet, dance, poetry and instrumental music (grades 4-5)",Other,"235 12th Avenue, San Francisco, CA, 94118",415-750-8525,415-750-8498,http://www.sutroelementary.com/,NA,Tours are TBD and will start the first week in November. Chinese tours available upon request.  Call to schedule.,Cantonese Biliteracy Pathway,sch848@sfusd.edu,NA,NA,NA,NA
Tenderloin Community Elementary School,"Early Education, Elementary School, PreK-5",330,Barbara Berman,The school opens at 8:20 am for breakfast.,Francisco Middle School,Downtown/Civic Center,94130,"Breakfast, Lunch, After School Supper",859,"The mission of TCS is to create a learning community where teachers, staff, families, community members, and children work collaboratively to foster academic excellence, encourage children to reach their full potential, create critical thinkers through an integrated, hands-on curriculum, and foster joyful learning in an environment that encourages child-centered experiences. With the generous support of the Bay Area Women's and Children Center (BAWCC), our school thrives with resources that make joyful learning come to life.",NA,"Program: Pre-K only, 8:00AM-5:30PM, (415) 614-3000.",Resource Specialist services,Tutoring in school,Visual arts,Therapist,"627 Turk Street, San Francisco, CA, 94102",415-749-3567,415-749-3643,NA,John Collins,Thursday from 9 - 11 a.m.,Vietnamese Foreign Language in Elementary School (FLES) Program,sch859@sfusd.edu,NA,NA,NA,NA
Ulloa Elementary School,"Elementary School, K-5",537,Carol Fong,9:30 am-3:30 pm,NA,Parkside,94112,"Breakfast, Lunch, After School Supper",862,"Ulloa is a high-performing school. Ulloa teachers also use a variety of teaching methods to help children learn the concepts. We are aware of students' needs and what makes learning fun for them. Our goal is to continue to expand our skills so we may connect with our students on a daily basis. Beyond academic successes, our students excel in poetry writing and in performing arts. Each student is provided with a learning environment in which they may have fun with their friends, actively participate in classroom discussions, feel good about themselves, and show curiosity to extend their learning. For the next two years, we will be expanding our STEM programs to focus on the new Science Standards. At Ulloa, we welcome parent and community participation in setting policies and will always base those decisions on what is educationally and fiscally sound for our students. As we prepare students for future success, we promise our students good memories when they leave Ulloa Elementary School.","Ulloa Child Care, a private organization, provides quality before and after school care for students in the K-5 levels.",ASLP is offered to students in grades 2-5 on a selection process established by criteria set by the school and in compliance with Federal Funding guidelines. Space is limited for this program and is only for students in Grades 2-5.,Resource Specialist services,Tutoring in school,"Prop H Dance, instrumental music for 4th and 5th graders, chorus",Other,"2650 42nd Avenue, San Francisco, CA, 94116",415-759-2841,415-759-2845,Ulloa School Site,NA,Wednesdays at 9:45 am -Oct. to Jan.,Cantonese Biliteracy Program,Sch862@sfusd.edu,NA,NA,NA,NA
Visitacion Valley Elementary School,"Elementary School, K-5",388,Bridget Wallace,8:40 am-2:40 pm,Visitacion Valley Middle School,Visitacion Valley,94134,"Breakfast, Lunch, After School Supper",867,"We equip students with the tools to succeed in the 21st century by providing technology-based learning for all. Our students also develop and attain life skills and problem solving skills through Restorative Practices, Toolbox lessons, and daily Community Circles to be socially and emotionally ready citizens.",NA,"Sunnydale B&G Club offers an on and off campus academic, tutoring and homework assistance program after school.",NA,English literacy interventionist,Instrumental Music,Family liaison,"55 Schwerin Street, San Francisco, CA, 94134",415-469-4796,415-469-4099,NA,NA,Tuesday mornings.  Call for an appointment.,Cantonese Biliteracy Program,sch867@sfusd.edu,NA,"Dark pants, white shirt or school shirt.",NA,NA
West Portal Elementary School,"Elementary School, K-5",600,Karen Lee,8:40 am-2:40 pm,NA,West Portal,"94112, 94117, 94124","Breakfast, Lunch",876,"Through the third grade, small class sizes provide space, materials, and access to the teacher for all students. We clearly share our realistic and achievable goals and strategies with parents and staff. All staff members perform their responsibilities to the best of their abilities to achieve goals, including support for extra programming—such as a garden project and a school musical. Our teachers attend to students' emotional well-being and encourage them to develop self-confidence; responsibility and self-discipline; listening, problem solving, critical thinking, and social skills. Development of these 21st Century learning skills helps the children to engage and enjoy learning, and to accomplish their learning goals.",7:00- 8:40 a.m.,"2:40-6:00 p.m. Growth and Learning Opportunities (GLO), our exemplary non-profit before and after school program, opens its doors at 7:00 a.m. and provides childcare until 6:00 p.m. 4-5 p.m. After-School Sport teams",Resource Specialist services,STEAM (science; technology; engineering; arts; mathematics),"K-5 Music Program, 4-5 Instumental Music Program, ARIA Opera Program",Therapist,"5 Lenox Way, San Francisco, CA, 94127",415-759-2846,415-242-2526,http://www.westportalschool.com/,Lauren Ashton,"Thursdays 9-10 a.m. from Oct. to Jan., principal guided tours in the months of November to January; self-guided tours everyday, anytime during the school day.",Cantonese Dual Language Immersion,leek6@sfusd.edu,NA,NA,NA,NA
Yick Wo Alternative Elementary School,"Elementary School, K-5",260,Molly Jo Alaimo,"The Yick Wo campus opens at 9 a.m., playground supervision begins at 9:10 a.m. on the Upper Yard, and school begins for all grades at 9:30 a.m. Kindergarten dismissal is at 3:20 p.m., while dismissal for 1st - 5th grades is at 3:30 p.m..",Francisco Middle School,Russian Hill,NA,"Breakfast, Lunch, After School Supper",801,"Besides a rich daytime academic program, the Yick Wo PTO supports extracurricular activities such as Chess Club, Coding Club, Spanish classes, Piano Classes, Newspaper Club. Our small campus provides an intimate setting where teachers, staff and parents develop trusting relationships, understand student needs, and foster social and emotional development to allow students to thrive both inside the classroom, and as members of the greater community.",NA,"3:30-6:30 p.m. Chinatown YMCA ExCEL program offered at no cost to family. The Yick Wo After School Program was created as a ""safe haven"" where students and community members can access expanded learning opportunities and integrated education, health, and social skills.  Many students also attend Tel-Hi's After School Academy.",Yick Wo specializes in Discrete Trials and alternative communication strategies for non-verbal students.,STEAM (science; technology; engineering; arts; mathematics),Visual arts,Social worker,"2245 Jones Street, San Francisco, CA, 94133",415-749-3540,415-749-3543,http://www.yickwo.com/,NA,Please call to schedule. Tours run from October to January on Tuesday mornings.,NA,sch801@sfusd.edu,NA,NA,NA,NA
